ts,coin,mark,long_ntl,short_ntl,near_liq_long,near_liq_short,n_pos
2026-07-13T12:41:28Z,RESOLV,0.019643,40615,89939,0,0,15
2026-07-13T12:41:28Z,PUMP,0.001484,301015,9001050,0,0,67
2026-07-13T12:41:28Z,PROVE,0.19711,33248,86092,0,0,16
2026-07-13T12:41:28Z,WLFI,0.057519,1322813,203774,107665,0,48
2026-07-13T12:41:28Z,LINEA,0.002406,58377,260296,0,0,27
2026-07-13T12:41:28Z,SKY,0.057934,7464,546207,0,0,21
2026-07-13T12:41:28Z,STBL,0.023005,65741,226768,0,0,22
2026-07-13T12:41:28Z,HEMI,0.00433,17088,185775,0,0,20
2026-07-13T12:41:28Z,APEX,0.26821,461,86701,0,0,15
2026-07-13T12:41:28Z,2Z,0.072399,179036,169971,0,0,23
2026-07-13T12:41:28Z,MON,0.021813,96833,4979505,0,0,51
2026-07-13T12:41:28Z,MET,0.14875,270784,486076,0,0,24
2026-07-13T12:41:28Z,CC,0.13445,51421,856419,0,0,24
2026-07-13T12:41:28Z,ICP,2.195,61148,199367,0,0,25
2026-07-13T12:41:28Z,AERO,0.4895,31010,1482468,0,0,26
2026-07-13T12:41:28Z,STABLE,0.03723,32517,595514,0,0,21
2026-07-13T12:41:28Z,FOGO,0.009543,15557,71125,0,0,13
2026-07-13T12:41:28Z,LIT,2.3494,1794249,15907350,0,0,54
2026-07-13T12:41:28Z,XMR,326.29,185390,11321729,0,0,42
2026-07-13T12:41:28Z,AXS,0.9815,59414,131213,0,0,20
2026-07-13T12:41:28Z,CHIP,0.029843,76534,592236,0,0,27
2026-07-13T12:41:28Z,GRAM,1.5995,119332,1192995,0,0,27
2026-07-13T12:41:28Z,CASHCAT,0.14567,7006,136261,0,0,12
2026-07-13T12:41:28Z,ZRO,0.86225,490131,3140473,0,0,47
2026-07-13T12:41:28Z,ETHFI,0.40429,83495,791089,0,0,35
2026-07-13T12:41:28Z,ZEC,511.68,1204648,26588341,0,104695,91
2026-07-13T12:41:28Z,BTC,62601.0,12419542,276655276,646632,29366,160
2026-07-13T12:41:28Z,ETH,1770.1,3062558,227838543,5204,536427,147
2026-07-13T12:41:28Z,TRX,0.3264,2680647,701255,56739,0,36
2026-07-13T12:41:28Z,ONDO,0.3148,147960,1198335,0,0,51
2026-07-13T12:41:28Z,XLM,0.18253,812124,556080,0,0,47
2026-07-13T12:41:28Z,SOL,75.78,5306031,59135402,161285,19885,130
2026-07-13T12:41:28Z,DOGE,0.072001,497095,5544318,0,0,81
2026-07-13T12:41:28Z,EIGEN,0.247,94173,905560,0,0,34
2026-07-13T12:41:28Z,SYRUP,0.18941,14496,1206899,0,0,27
2026-07-13T12:41:28Z,BIGTIME,0.006937,40996,61294,0,0,23
2026-07-13T12:41:28Z,TIA,0.40834,63996,364123,0,0,36
2026-07-13T12:41:28Z,NOT,0.000377,53994,71560,0,0,11
2026-07-13T12:41:28Z,ASTER,0.61961,763989,2533554,0,0,53
2026-07-13T12:41:28Z,AVNT,0.095393,88449,181067,0,0,25
2026-07-13T12:41:28Z,SKR,0.009841,39083,45028,0,0,9
2026-07-13T12:41:28Z,DYDX,0.12704,6248,1050236,0,0,31
2026-07-13T12:41:28Z,LTC,43.267,93169,1955303,0,0,61
2026-07-13T12:41:28Z,ARB,0.09243,142147,2565395,0,0,55
2026-07-13T12:41:28Z,RUNE,0.40469,68558,221525,0,0,20
2026-07-13T12:41:28Z,TRB,15.021,121850,47704,0,0,22
2026-07-13T12:41:28Z,KAS,0.02829,50171,22277,0,0,20
2026-07-13T12:41:28Z,BLUR,0.017768,373328,390000,0,0,28
2026-07-13T12:41:28Z,NEO,1.9202,95690,92751,0,0,21
2026-07-13T12:41:28Z,RSR,0.001219,36864,29585,0,0,10
2026-07-13T12:41:28Z,ENS,4.0833,272,445813,0,0,28
2026-07-13T12:41:28Z,ENA,0.078985,583113,3622388,0,0,63
2026-07-13T12:41:28Z,MERL,0.017133,99016,76758,0,0,13
2026-07-13T12:41:28Z,POL,0.081038,101571,702436,0,0,33
2026-07-13T12:41:28Z,PURR,0.084367,11781,198024,0,0,16
2026-07-13T12:41:28Z,SAND,0.047535,140768,52924,0,0,21
2026-07-13T12:41:28Z,SPX,0.3694,71110,623449,0,0,43
2026-07-13T12:41:28Z,S,0.025545,184002,250239,0,0,29
2026-07-13T12:41:28Z,BABY,0.012605,32554,54452,0,0,23
2026-07-13T12:41:28Z,XPL,0.089611,297613,6405787,0,0,51
2026-07-13T12:41:28Z,0G,0.1764,84175,91411,0,0,16
2026-07-13T12:41:28Z,DASH,33.774,45344,242504,0,0,20
2026-07-13T12:41:28Z,AZTEC,0.01406,51699,56316,0,0,13
2026-07-13T12:41:28Z,UNI,3.4994,251387,2085141,0,6661,61
2026-07-13T12:41:28Z,MEGA,0.048567,25818,165332,0,0,21
2026-07-13T12:41:28Z,FIL,0.75765,437567,298464,0,0,33
2026-07-13T12:41:28Z,PYTH,0.048804,87935,479718,0,0,27
2026-07-13T12:41:28Z,MOODENG,0.038435,65431,69269,0,0,19
2026-07-13T12:41:28Z,ZEN,4.0561,4844,80362,0,0,18
2026-07-13T12:41:28Z,IMX,0.1335,6755,476056,0,0,27
2026-07-13T12:41:28Z,MINA,0.043081,118972,109342,0,0,18
2026-07-13T12:41:28Z,ORDI,3.523,51308,124279,0,0,22
2026-07-13T12:41:28Z,PEOPLE,0.005556,48372,18659,0,0,17
2026-07-13T12:41:28Z,IOTA,0.036835,70998,13874,0,0,9
2026-07-13T12:41:28Z,USUAL,0.00877,18877,44591,0,0,16
2026-07-13T12:41:28Z,VINE,0.009002,9610,30908,0,0,9
2026-07-13T12:41:28Z,ZORA,0.006706,38395,109151,0,0,16
