ts,addr,coin,szi,entryPx,liqPx,mark,dist_to_liq,uPnl,lev,acct_value
2026-07-13T12:01:50Z,0x4e23288cee4960f9f962195c22948e4bc7ae20c3,NEAR,720.1,2.45179,,1.9144,,-386.906157,10,4852505
2026-07-13T12:01:50Z,0x4e23288cee4960f9f962195c22948e4bc7ae20c3,ALGO,-1.0,0.115321,21579135.547413636,0.082985,260036578.4712,0.032301,5,4852505
2026-07-13T12:01:50Z,0x4e23288cee4960f9f962195c22948e4bc7ae20c3,HYPE,373198.46,67.1221,,64.998,,-792715.710305,5,4852505
2026-07-13T12:01:50Z,0x034fb27dd90457fb477d0eec043eb360a13e9631,BTC,-0.70599,63172.7,169282.8022835983,62926.0,1.6902,167.883428,40,91660
2026-07-13T12:01:50Z,0x034fb27dd90457fb477d0eec043eb360a13e9631,ETH,-26.9955,1781.35,4542.2720747939,1780.7,1.5508,-4.006053,25,91660
2026-07-13T12:01:50Z,0x034fb27dd90457fb477d0eec043eb360a13e9631,LDO,-56471.7,0.32009,1.5342164818,0.31045,3.9419,544.406186,5,91660
2026-07-13T12:01:50Z,0x034fb27dd90457fb477d0eec043eb360a13e9631,AAVE,-404.31,93.3623,274.8721384181,95.785,1.8697,-987.176101,10,91660
2026-07-13T12:01:50Z,0x034fb27dd90457fb477d0eec043eb360a13e9631,MNT,-52443.6,0.60585,1.7428118171,0.42505,3.1003,9481.894716,5,91660
2026-07-13T12:01:50Z,0x034fb27dd90457fb477d0eec043eb360a13e9631,XPL,-417704.0,0.099562,0.2639851808,0.090646,1.9123,3718.842702,10,91660
2026-07-13T12:01:50Z,0x034fb27dd90457fb477d0eec043eb360a13e9631,CC,-282007.0,0.135115,0.3653250275,0.13424,1.7214,238.562613,3,91660
2026-07-13T12:01:50Z,0xa70ac79d24b8ea7dc8899d6c2df26488130b4be9,BTC,-37.56564,62831.8,80788.0352545965,62926.0,0.2839,-3875.660781,20,743045
2026-07-13T12:01:50Z,0xa70ac79d24b8ea7dc8899d6c2df26488130b4be9,ETH,624.4195,1807.37,671.8261447633,1780.7,0.6227,-16159.166534,20,743045
2026-07-13T12:01:50Z,0xa70ac79d24b8ea7dc8899d6c2df26488130b4be9,SOL,5551.35,76.5068,,76.296,,-1065.253003,20,743045
2026-07-13T12:01:50Z,0xa70ac79d24b8ea7dc8899d6c2df26488130b4be9,DOGE,25783.0,0.193283,,0.072254,,-3120.387093,10,743045
2026-07-13T12:01:50Z,0xa70ac79d24b8ea7dc8899d6c2df26488130b4be9,CRV,1396.1,0.68063,,0.20901,,-658.303411,10,743045
